X,Y,Depth (m)
363351.1557116157,5800998.33919613,5.67
363351.21177374106,5800998.418888888,5.66
363351.2700670841,5800998.480712165,5.66
363351.3232195759,5800998.553807749,5.66
363351.37497892475,5800998.625828985,5.66
363351.4154362153,5800998.708180389,5.65
363351.4568857671,5800998.777148567,5.65
363351.5112772104,5800998.845757894,5.65
363351.57173734857,5800998.911972998,5.65
363351.63801674463,5800998.991382457,5.66
363351.70918755117,5800999.075108195,5.66
363351.7689637885,5800999.165827734,5.66
363351.8011519887,5800999.269554972,5.65
363351.80049069977,5800999.368628174,5.64
363351.575996915,5800999.58186646,5.64
363351.31973843614,5800999.780403862,5.63
363351.11989499326,5800999.948439623,5.62
363350.9561553625,5801000.0909888325,5.61
363350.8185489533,5801000.21723176,5.59
363350.7015004604,5801000.347356561,5.59
363350.59448423167,5801000.470525332,5.58
363350.4895423015,5801000.594749567,5.57
363350.39559132,5801000.722007973,5.56
363350.31801882753,5801000.849925211,5.56
363350.2340076006,5801000.966891225,5.55
363350.17055428424,5801001.08773911,5.54
363350.1048724926,5801001.201970932,5.53
363350.0515131126,5801001.318087027,5.53
363349.99663724576,5801001.428680293,5.53
363349.96061777335,5801001.530959871,5.51
363349.9232668362,5801001.634389345,5.50
363349.89944642596,5801001.7341047125,5.48
363349.8789701015,5801001.831501404,5.46
363349.8659247737,5801001.9264660925,5.43
363349.86099159357,5801002.018979893,5.41
363349.8475453827,5801002.099487009,5.40
363349.8568238792,5801002.188267819,5.39
363349.85226347926,5801002.269641522,5.39
363349.85795119335,5801002.35184404,5.39
363349.8646928384,5801002.422887571,5.39
363349.8836952147,5801002.493591136,5.39
363349.9055482792,5801002.544182086,5.40
363349.9348631751,5801002.593453156,5.41
363349.96219628974,5801002.64500513,5.42
363350.0049800328,5801002.688337853,5.44
363350.0517581736,5801002.728220889,5.43
363350.1223176829,5801002.740733086,5.45
363350.24313096644,5801002.72180148,5.46
363350.5220413294,5801002.627255665,5.49
363350.960585166,5801002.561672814,5.52
363351.4286597516,5801002.553145929,5.54
363351.8762045319,5801002.56633488,5.55
363352.3035895419,5801002.6145851165,5.56
363352.71629757015,5801002.674372109,5.58
363353.1051316923,5801002.758193598,5.57
363353.4681745452,5801002.846069175,5.59
363353.8187072114,5801002.94987332,5.61
363354.14261327474,5801003.052189821,5.61
363354.44970638625,5801003.162763358,5.62
363354.7585009842,5801003.28553247,5.61
363355.0776670206,5801003.413578909,5.61
