"UTC","Depth..m.","BESTPOSA_Spalte12","BESTPOSA_Spalte13"
151438,5.56,"52.34226163","12.99405295"
151439,5.56,"52.34226276","12.99405176"
151440,5.55,"52.34226379","12.99405048"
151441,5.54,"52.34226486","12.99404950"
151442,5.53,"52.34226587","12.99404849"
151443,5.53,"52.34226690","12.99404766"
151444,5.53,"52.34226788","12.99404681"
151445,5.51,"52.34226879","12.99404624"
151446,5.5,"52.34226971","12.99404565"
151447,5.48,"52.34227060","12.99404526"
151448,5.46,"52.34227147","12.99404492"
151449,5.43,"52.34227232","12.99404469"
151450,5.41,"52.34227315","12.99404458"
151451,5.4,"52.34227387","12.99404435"
151452,5.39,"52.34227467","12.99404445"
151453,5.39,"52.34227540","12.99404435"
151454,5.39,"52.34227614","12.99404440"
151455,5.39,"52.34227678","12.99404447"
151456,5.39,"52.34227742","12.99404472"
151457,5.4,"52.34227788","12.99404502"
151458,5.41,"52.34227833","12.99404543"
151459,5.42,"52.34227880","12.99404581"
151500,5.44,"52.34227920","12.99404642"
151501,5.43,"52.34227957","12.99404709"
151502,5.45,"52.34227970","12.99404812"
151503,5.46,"52.34227956","12.99404990"
151504,5.49,"52.34227878","12.99405403"
151505,5.52,"52.34227830","12.99406049"
151506,5.54,"52.34227834","12.99406736"
151507,5.55,"52.34227857","12.99407392"
151508,5.56,"52.34227911","12.99408017"
151509,5.58,"52.34227975","12.99408620"
151510,5.57,"52.34228060","12.99409187"
151511,5.59,"52.34228148","12.99409716"
151512,5.61,"52.34228250","12.99410226"
151513,5.61,"52.34228350","12.99410697"
151514,5.62,"52.34228457","12.99411143"
151515,5.61,"52.34228575","12.99411591"
151516,5.61,"52.34228698","12.99412054"
151517,5.62,"52.34228818","12.99412585"
151518,5.63,"52.34228907","12.99413250"
151519,5.64,"52.34228913","12.99414034"
151520,4.56,"52.34228843","12.99414798"
151521,3.47,"52.34228748","12.99415478"
151522,5.68,"52.34228618","12.99416071"
151523,5.71,"52.34228481","12.99416590"
151524,5.71,"52.34228349","12.99417046"
151525,5.73,"52.34228202","12.99417432"
151526,5.75,"52.34228036","12.99417793"
151527,5.76,"52.34227864","12.99418146"
151528,5.77,"52.34227692","12.99418503"
151529,5.78,"52.34227520","12.99418862"
151530,5.79,"52.34227363","12.99419237"
151531,5.81,"52.34227200","12.99419609"
151532,5.82,"52.34227040","12.99419994"
151533,5.84,"52.34226890","12.99420413"
151534,5.87,"52.34226735","12.99420861"
151535,5.88,"52.34226584","12.99421356"
151536,5.88,"52.34226444","12.99421929"
151537,5.9,"52.34226324","12.99422560"
151538,5.93,"52.34226219","12.99423222"
151539,5.94,"52.34226157","12.99423906"
151540,5.95,"52.34226094","12.99424592"
151541,5.97,"52.34226061","12.99425310"
151542,5.98,"52.34226032","12.99426016"
151543,6,"52.34226029","12.99426724"
151544,6,"52.34226032","12.99427414"
151545,6.02,"52.34226051","12.99428106"
151546,6.03,"52.34226071","12.99428804"
151547,6.04,"52.34226087","12.99429525"
